INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,NYS Municipal Boundaries,New York Zip Codes,Location,Counties
NY-2014-WS-008,1,Search,1/23/2014,2:50 AM,1,M,38,NY,US,Hunting,Lost,40.88844,-72.74387,150,TRUE,Vehicle/boat evacuation,2,TRUE,Other DEC Land,Otis Pike Preserve,SUFFOLK,BROOKHAVEN,FALSE,FALSE,1/23/2014,3:42 AM,1022,1607,POINT (-72.74387 40.88844),2179
NY-2014-WS-007,4,Search,1/21/2014,1:15 AM,1,M,49,NY,US,Hiking,Illness,42.28328,-74.10789,2368,TRUE,Assist/own power,3,TRUE,Forest Preserve,Windham Blackhead Wilderness Area,GREENE,WINDHAM,FALSE,TRUE,1/21/2014,5:00 AM,750,248,POINT (-74.10789 42.28328),2087
NY-2014-WS-006,5,Search,1/17/2014,5:03 AM,2,F,18,NY,US,Hiking,Overdue,43.50691,-73.60575,1220,TRUE,Assist/own power,4,FALSE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,1/17/2014,9:00 AM,727,91,POINT (-73.60575 43.50691),2184
NY-2014-WS-006,5,Search,1/17/2014,5:03 AM,1,F,18,NY,US,Hiking,Overdue,43.50691,-73.60575,1220,TRUE,Assist/own power,4,FALSE,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,TRUE,FALSE,1/17/2014,9:00 AM,727,91,POINT (-73.60575 43.50691),2184
NY-2014-WS-005,5,Search,1/17/2014,3:46 AM,1,M,63,NY,US,Walking,Missing,43.13016,-74.35173,1530,TRUE,Assist/own power,2,TRUE,Private Land,Private property,FULTON,BLEECKER,TRUE,FALSE,1/17/2014,7:00 AM,389,1227,POINT (-74.35173 43.13016),2085
NY-2014-WS-004,7,Fugitive Search,1/11/2014,11:04 AM,1,M,29,NY,US,Criminal,Fugitive,42.49102,-75.4945,1510,TRUE,Carry out by foot,5,TRUE,Private Land,N/A,CHENANGO,NORWICH,FALSE,FALSE,1/12/2014,1:00 AM,263,446,POINT (-75.4945 42.49102),2037
NY-2014-WS-003,5,Search,1/6/2014,8:00 AM,1,M,31,CT,AU,Despondent,Missing,44.27018,-74.08558,2600,TRUE,Aircraft evacuation,19,TRUE,Forest Preserve,Saranac Lake Wild Forest,ESSEX,NORTH ELBA,TRUE,FALSE,1/17/2014,3:00 AM,430,298,POINT (-74.08558000000001 44.27018),2084
NY-2014-WS-002,5,Rescue,1/8/2014,12:40 PM,1,F,59,NY,US,Stranded,Injured,43.64437,-73.89143,912,FALSE,Carry out by foot,5,TRUE,Private Land,NONE,WARREN,CHESTER,TRUE,FALSE,1/8/2014,2:30 AM,825,804,POINT (-73.89143 43.64437),2183
NY-2014-WS-001,5,Search,1/3/2014,1:12 AM,1,M,35,ON,CA,Hiking,Lost,44.14087,-73.7356,2593,TRUE,Assist/own power,4,FALSE,Forest Preserve,Giant Mountain Wilderness,ESSEX,KEENE,TRUE,FALSE,1/3/2014,10:00 AM,442,272,POINT (-73.73560000000002 44.14087),2084
NY-2013-WS-300,4,Search,1/2/2014,10:00 AM,1,F,42,NY,US,Walking,Lost,42.42839,-74.4845,1200,TRUE,Assist/own power,3,TRUE,Private Land,Private Land,SCHOHARIE,GILBOA,FALSE,FALSE,1/2/2014,1:00 AM,150,1224,POINT (-74.4845 42.42839),629
